INFO:tensorflow:Train Step = 21719, total loss = 0.81010425
INFO:tensorflow:Train Step = 21819, total loss = 0.23312789 (50.763 sec)
INFO:tensorflow:Train Step = 21919, total loss = 0.22930703 (36.534 sec)
INFO:tensorflow:Train Step = 22019, total loss = 0.24955653 (36.491 sec)
INFO:tensorflow:Train Step = 22119, total loss = 0.40655887 (36.534 sec)
INFO:tensorflow:Train Step = 22219, total loss = 0.9546839 (36.492 sec)
INFO:tensorflow:Train Step = 22319, total loss = 0.58257926 (36.458 sec)
INFO:tensorflow:Train Step = 22419, total loss = 0.4469841 (36.425 sec)
INFO:tensorflow:Train Step = 22519, total loss = 0.33760497 (36.527 sec)
INFO:tensorflow:Train Step = 22619, total loss = 0.37711394 (36.532 sec)
INFO:tensorflow:Train Step = 22719, total loss = 0.1959714 (36.503 sec)
INFO:tensorflow:Train Step = 22819, total loss = 0.3905916 (36.504 sec)
INFO:tensorflow:Train Step = 22919, total loss = 0.35735348 (36.547 sec)
INFO:tensorflow:Train Step = 23019, total loss = 0.45391154 (36.541 sec)
INFO:tensorflow:Train Step = 23119, total loss = 0.9378585 (36.520 sec)
INFO:tensorflow:Train Step = 23219, total loss = 0.65850925 (36.504 sec)
INFO:tensorflow:Train Step = 23319, total loss = 0.50200737 (36.491 sec)
INFO:tensorflow:Train Step = 23419, total loss = 0.92979634 (36.536 sec)
INFO:tensorflow:Train Step = 23519, total loss = 1.2899101 (36.549 sec)
INFO:tensorflow:Train Step = 23619, total loss = 0.52522814 (36.528 sec)
INFO:tensorflow:Train Step = 23719, total loss = 0.4715317 (36.529 sec)
INFO:tensorflow:Train Step = 23819, total loss = 0.5578689 (36.542 sec)
INFO:tensorflow:Train Step = 23919, total loss = 0.39035243 (36.534 sec)
INFO:tensorflow:Train Step = 24019, total loss = 0.63839054 (36.528 sec)
INFO:tensorflow:Train Step = 24119, total loss = 0.97150815 (36.531 sec)
INFO:tensorflow:Train Step = 24219, total loss = 0.28654724 (36.540 sec)
INFO:tensorflow:Train Step = 24319, total loss = 0.3236347 (36.564 sec)
INFO:tensorflow:Train Step = 24419, total loss = 0.7141166 (36.548 sec)
INFO:tensorflow:Train Step = 24519, total loss = 0.45999736 (36.555 sec)
INFO:tensorflow:Train Step = 24619, total loss = 0.8546679 (36.541 sec)
INFO:tensorflow:Train Step = 24719, total loss = 0.17594844 (36.550 sec)
INFO:tensorflow:Train Step = 24819, total loss = 0.2167396 (36.515 sec)
INFO:tensorflow:Train Step = 24919, total loss = 0.15869546 (36.525 sec)
INFO:tensorflow:Train Step = 25019, total loss = 0.18086144 (36.538 sec)
INFO:tensorflow:Train Step = 25119, total loss = 0.73312294 (36.530 sec)
INFO:tensorflow:Train Step = 25219, total loss = 0.7140876 (36.555 sec)
INFO:tensorflow:Train Step = 25319, total loss = 0.12406805 (36.543 sec)
INFO:tensorflow:Train Step = 25419, total loss = 0.4622879 (36.543 sec)
INFO:tensorflow:Train Step = 25519, total loss = 0.22122766 (36.554 sec)
INFO:tensorflow:Train Step = 25619, total loss = 0.42830843 (36.576 sec)
INFO:tensorflow:Train Step = 25719, total loss = 0.6319183 (36.544 sec)
INFO:tensorflow:Train Step = 25819, total loss = 0.66459167 (36.545 sec)
INFO:tensorflow:Train Step = 25919, total loss = 0.3452295 (36.555 sec)
INFO:tensorflow:Train Step = 26019, total loss = 0.1365459 (36.558 sec)
INFO:tensorflow:Train Step = 26119, total loss = 0.761894 (36.554 sec)
INFO:tensorflow:Train Step = 26219, total loss = 0.7124939 (36.550 sec)
INFO:tensorflow:Train Step = 26319, total loss = 0.59933746 (36.552 sec)
INFO:tensorflow:Train Step = 26419, total loss = 0.5380142 (36.536 sec)
INFO:tensorflow:Train Step = 26519, total loss = 0.6524533 (36.517 sec)
INFO:tensorflow:Train Step = 26619, total loss = 0.6589166 (36.535 sec)
INFO:tensorflow:Train Step = 26719, total loss = 0.39429352 (39.243 sec)
INFO:tensorflow:Train Step = 26819, total loss = 0.061634585 (36.545 sec)
INFO:tensorflow:Train Step = 26919, total loss = 0.40323502 (36.565 sec)
INFO:tensorflow:Train Step = 27019, total loss = 1.4632621 (36.523 sec)
INFO:tensorflow:Train Step = 27119, total loss = 0.64049494 (36.557 sec)
INFO:tensorflow:Train Step = 27219, total loss = 0.11225538 (36.539 sec)
INFO:tensorflow:Train Step = 27319, total loss = 0.22410023 (36.567 sec)
INFO:tensorflow:Train Step = 27419, total loss = 0.5566 (36.578 sec)
INFO:tensorflow:Train Step = 27519, total loss = 0.11128421 (36.474 sec)
INFO:tensorflow:Train Step = 27619, total loss = 1.4375633 (36.519 sec)
INFO:tensorflow:Train Step = 27719, total loss = 0.13208452 (36.531 sec)
INFO:tensorflow:Train Step = 27819, total loss = 0.49462113 (36.565 sec)
INFO:tensorflow:Train Step = 27919, total loss = 0.893345 (36.535 sec)
INFO:tensorflow:Train Step = 28019, total loss = 0.38534132 (36.514 sec)
INFO:tensorflow:Train Step = 28119, total loss = 0.98680043 (36.539 sec)
INFO:tensorflow:Train Step = 28219, total loss = 0.711621 (36.547 sec)
INFO:tensorflow:Train Step = 28319, total loss = 0.9284173 (36.559 sec)
INFO:tensorflow:Train Step = 28419, total loss = 0.4563161 (36.551 sec)
INFO:tensorflow:Train Step = 28519, total loss = 0.25412285 (36.532 sec)
INFO:tensorflow:Train Step = 28619, total loss = 0.4919818 (36.533 sec)
INFO:tensorflow:Train Step = 28719, total loss = 1.3576543 (36.536 sec)
INFO:tensorflow:Train Step = 28819, total loss = 1.0413723 (36.516 sec)
INFO:tensorflow:Train Step = 28919, total loss = 0.6870308 (36.535 sec)
INFO:tensorflow:Train Step = 29019, total loss = 0.40210912 (36.510 sec)
INFO:tensorflow:Train Step = 29119, total loss = 0.58444464 (36.504 sec)
INFO:tensorflow:Train Step = 29219, total loss = 1.2255378 (36.548 sec)
INFO:tensorflow:Train Step = 29319, total loss = 0.24059346 (36.567 sec)
INFO:tensorflow:Train Step = 29419, total loss = 0.77195156 (36.542 sec)
INFO:tensorflow:Train Step = 29519, total loss = 0.22284162 (36.504 sec)
INFO:tensorflow:Train Step = 29619, total loss = 1.1106476 (36.549 sec)
INFO:tensorflow:Train Step = 29719, total loss = 2.111867 (36.541 sec)
INFO:tensorflow:Train Step = 29819, total loss = 0.42187142 (36.533 sec)
INFO:tensorflow:Train Step = 29919, total loss = 0.76562107 (36.541 sec)
INFO:tensorflow:Train Step = 30019, total loss = 1.2164881 (36.534 sec)
INFO:tensorflow:Train Step = 30119, total loss = 0.7942984 (36.532 sec)
INFO:tensorflow:Train Step = 30219, total loss = 0.5724329 (36.568 sec)
INFO:tensorflow:Train Step = 30319, total loss = 0.27105457 (36.567 sec)
INFO:tensorflow:Train Step = 30419, total loss = 0.716658 (36.519 sec)
INFO:tensorflow:Train Step = 30519, total loss = 0.2500627 (36.557 sec)
INFO:tensorflow:Train Step = 30619, total loss = 0.48981777 (36.547 sec)
INFO:tensorflow:Train Step = 30719, total loss = 1.0188153 (36.542 sec)
INFO:tensorflow:Train Step = 30819, total loss = 0.2569195 (36.531 sec)
