INFO:tensorflow:Train Step = 32579, total loss = 0.32287908
INFO:tensorflow:Train Step = 32679, total loss = 1.004853 (17.382 sec)
INFO:tensorflow:Train Step = 32779, total loss = 0.40582874 (14.571 sec)
INFO:tensorflow:Train Step = 32879, total loss = 0.3946764 (14.573 sec)
INFO:tensorflow:Train Step = 32979, total loss = 0.44121763 (14.578 sec)
INFO:tensorflow:Train Step = 33079, total loss = 0.38252637 (14.587 sec)
INFO:tensorflow:Train Step = 33179, total loss = 0.47161585 (14.564 sec)
INFO:tensorflow:Train Step = 33279, total loss = 0.774469 (14.553 sec)
INFO:tensorflow:Train Step = 33379, total loss = 0.12357567 (14.585 sec)
INFO:tensorflow:Train Step = 33479, total loss = 0.96873355 (14.597 sec)
INFO:tensorflow:Train Step = 33579, total loss = 0.18180406 (14.577 sec)
INFO:tensorflow:Train Step = 33679, total loss = 0.12752461 (14.573 sec)
INFO:tensorflow:Train Step = 33779, total loss = 0.22401083 (14.557 sec)
INFO:tensorflow:Train Step = 33879, total loss = 0.3844681 (14.595 sec)
INFO:tensorflow:Train Step = 33979, total loss = 0.3276553 (14.587 sec)
INFO:tensorflow:Train Step = 34079, total loss = 0.8983132 (14.582 sec)
INFO:tensorflow:Train Step = 34179, total loss = 0.19882032 (14.602 sec)
INFO:tensorflow:Train Step = 34279, total loss = 0.37315968 (14.583 sec)
INFO:tensorflow:Train Step = 34379, total loss = 1.4890893 (14.589 sec)
INFO:tensorflow:Train Step = 34479, total loss = 0.24392676 (14.573 sec)
INFO:tensorflow:Train Step = 34579, total loss = 0.60202646 (14.588 sec)
INFO:tensorflow:Train Step = 34679, total loss = 0.2724959 (14.576 sec)
INFO:tensorflow:Train Step = 34779, total loss = 0.35885942 (14.586 sec)
INFO:tensorflow:Train Step = 34879, total loss = 0.14842032 (14.586 sec)
INFO:tensorflow:Train Step = 34979, total loss = 0.68763196 (14.605 sec)
INFO:tensorflow:Train Step = 35079, total loss = 0.32405078 (14.592 sec)
INFO:tensorflow:Train Step = 35179, total loss = 0.26435542 (14.559 sec)
INFO:tensorflow:Train Step = 35279, total loss = 0.80659246 (14.599 sec)
INFO:tensorflow:Train Step = 35379, total loss = 0.29775482 (14.572 sec)
INFO:tensorflow:Train Step = 35479, total loss = 1.1192054 (14.552 sec)
INFO:tensorflow:Train Step = 35579, total loss = 1.0172083 (14.581 sec)
INFO:tensorflow:Train Step = 35679, total loss = 0.7771021 (14.583 sec)
INFO:tensorflow:Train Step = 35779, total loss = 0.17049432 (14.596 sec)
INFO:tensorflow:Train Step = 35879, total loss = 0.10600223 (14.592 sec)
INFO:tensorflow:Train Step = 35979, total loss = 1.6279879 (14.603 sec)
INFO:tensorflow:Train Step = 36079, total loss = 0.50325024 (14.593 sec)
INFO:tensorflow:Train Step = 36179, total loss = 0.4090864 (14.577 sec)
INFO:tensorflow:Train Step = 36279, total loss = 0.5124185 (14.590 sec)
INFO:tensorflow:Train Step = 36379, total loss = 1.0821161 (14.585 sec)
INFO:tensorflow:Train Step = 36479, total loss = 0.95137393 (14.582 sec)
INFO:tensorflow:Train Step = 36579, total loss = 0.4967246 (14.579 sec)
INFO:tensorflow:Train Step = 36679, total loss = 0.89773273 (14.594 sec)
INFO:tensorflow:Train Step = 36779, total loss = 0.19817404 (14.583 sec)
INFO:tensorflow:Train Step = 36879, total loss = 0.2591434 (14.609 sec)
INFO:tensorflow:Train Step = 36979, total loss = 0.6656163 (14.583 sec)
INFO:tensorflow:Train Step = 37079, total loss = 0.24229941 (14.580 sec)
INFO:tensorflow:Train Step = 37179, total loss = 0.352132 (14.593 sec)
INFO:tensorflow:Train Step = 37279, total loss = 0.41179252 (14.606 sec)
INFO:tensorflow:Train Step = 37379, total loss = 0.61147135 (14.593 sec)
INFO:tensorflow:Train Step = 37479, total loss = 0.67923796 (14.584 sec)
INFO:tensorflow:Train Step = 37579, total loss = 0.46797183 (15.573 sec)
INFO:tensorflow:Train Step = 37679, total loss = 0.16524199 (14.592 sec)
INFO:tensorflow:Train Step = 37779, total loss = 0.16445431 (14.604 sec)
INFO:tensorflow:Train Step = 37879, total loss = 0.15925838 (14.571 sec)
INFO:tensorflow:Train Step = 37979, total loss = 0.38882297 (14.585 sec)
INFO:tensorflow:Train Step = 38079, total loss = 0.2642005 (14.606 sec)
INFO:tensorflow:Train Step = 38179, total loss = 0.80025125 (14.588 sec)
INFO:tensorflow:Train Step = 38279, total loss = 0.39689803 (14.609 sec)
INFO:tensorflow:Train Step = 38379, total loss = 0.87101173 (14.582 sec)
INFO:tensorflow:Train Step = 38479, total loss = 0.36200172 (14.587 sec)
INFO:tensorflow:Train Step = 38579, total loss = 0.23984888 (14.591 sec)
INFO:tensorflow:Train Step = 38679, total loss = 0.44063896 (14.609 sec)
INFO:tensorflow:Train Step = 38779, total loss = 1.1961224 (14.597 sec)
INFO:tensorflow:Train Step = 38879, total loss = 0.5152579 (14.581 sec)
INFO:tensorflow:Train Step = 38979, total loss = 0.41683465 (14.598 sec)
INFO:tensorflow:Train Step = 39079, total loss = 0.32941586 (14.567 sec)
INFO:tensorflow:Train Step = 39179, total loss = 0.19911996 (14.578 sec)
INFO:tensorflow:Train Step = 39279, total loss = 0.37290064 (14.599 sec)
INFO:tensorflow:Train Step = 39379, total loss = 0.53811276 (14.610 sec)
INFO:tensorflow:Train Step = 39479, total loss = 0.7955897 (14.605 sec)
INFO:tensorflow:Train Step = 39579, total loss = 0.6407759 (14.572 sec)
INFO:tensorflow:Train Step = 39679, total loss = 0.6366198 (14.569 sec)
INFO:tensorflow:Train Step = 39779, total loss = 0.052809685 (14.617 sec)
INFO:tensorflow:Train Step = 39879, total loss = 0.74146724 (14.580 sec)
INFO:tensorflow:Train Step = 39979, total loss = 0.38498402 (14.586 sec)
INFO:tensorflow:Train Step = 40079, total loss = 0.55440426 (14.581 sec)
INFO:tensorflow:Train Step = 40179, total loss = 1.3798003 (14.587 sec)
INFO:tensorflow:Train Step = 40279, total loss = 0.9273928 (14.611 sec)
INFO:tensorflow:Train Step = 40379, total loss = 0.68844616 (14.590 sec)
INFO:tensorflow:Train Step = 40479, total loss = 0.44407785 (14.591 sec)
INFO:tensorflow:Train Step = 40579, total loss = 1.3217591 (14.603 sec)
INFO:tensorflow:Train Step = 40679, total loss = 0.512926 (14.603 sec)
INFO:tensorflow:Train Step = 40779, total loss = 1.3740788 (14.595 sec)
INFO:tensorflow:Train Step = 40879, total loss = 0.98025596 (14.586 sec)
INFO:tensorflow:Train Step = 40979, total loss = 0.4373384 (14.565 sec)
INFO:tensorflow:Train Step = 41079, total loss = 0.64529717 (14.603 sec)
INFO:tensorflow:Train Step = 41179, total loss = 0.4079332 (14.573 sec)
INFO:tensorflow:Train Step = 41279, total loss = 1.0814688 (14.609 sec)
INFO:tensorflow:Train Step = 41379, total loss = 0.64648277 (14.614 sec)
INFO:tensorflow:Train Step = 41479, total loss = 0.3332482 (14.575 sec)
INFO:tensorflow:Train Step = 41579, total loss = 1.2325094 (14.584 sec)
INFO:tensorflow:Train Step = 41679, total loss = 0.6435374 (14.616 sec)
INFO:tensorflow:Train Step = 41779, total loss = 1.219949 (14.607 sec)
INFO:tensorflow:Train Step = 41879, total loss = 0.7304779 (14.590 sec)
INFO:tensorflow:Train Step = 41979, total loss = 1.0853674 (14.599 sec)
INFO:tensorflow:Train Step = 42079, total loss = 0.4538597 (14.585 sec)
INFO:tensorflow:Train Step = 42179, total loss = 0.4495163 (14.564 sec)
INFO:tensorflow:Train Step = 42279, total loss = 1.0976543 (14.570 sec)
INFO:tensorflow:Train Step = 42379, total loss = 0.86280215 (14.585 sec)
INFO:tensorflow:Train Step = 42479, total loss = 0.5758819 (14.601 sec)
INFO:tensorflow:Train Step = 42579, total loss = 0.7857673 (15.817 sec)
